,date,frequency,avg_passenger_count,avg_trip_distance,avg_fare_amount,avg_tip_amount,avg_total_amount,sum_passenger_count,sum_trip_distance,sum_fare_amount,sum_tip_amount,sum_total_amount,date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,policy,policy_coverage_area
99,2020-05-10,4870,1.0,2.379108829568791,9.639509240246408,1.3484887063654967,13.884406570842657,4870.0,11586.260000000011,46944.41,6567.1399999999685,67617.06000000374,2020-05-10,457.0,104.0,103.0,1127.0,1147.0,176.0,133.0,153.0,1.0,1.0
100,2020-05-11,7167,1.0,2.2158281010185603,9.287108971675737,1.3466638760987875,13.818484721641918,7167.0,15880.840000000022,66560.71,9651.54000000001,99037.08000000763,2020-05-11,1232.0,180.0,104.0,1082.0,1099.0,168.0,126.0,143.0,1.0,1.0
101,2020-05-12,7263,1.0,2.2847129285419334,9.535760704942861,1.391606774060302,14.09422552664299,7263.0,16593.87000000006,69258.23,10107.239999999972,102366.36000000803,2020-05-12,1285.0,111.0,90.0,1049.0,1066.0,153.0,117.0,134.0,1.0,1.0
102,2020-05-13,7722,1.0,2.2620940170940145,9.495376845376846,1.3513377363377372,13.994690494691689,7722.0,17467.88999999998,73323.3,10435.030000000006,108067.00000000923,2020-05-13,1333.0,128.0,83.0,1040.0,1054.0,141.0,107.0,121.0,1.0,1.0
103,2020-05-14,7715,1.0,2.219626701231371,9.391473752430331,1.351197666882692,13.913832793261005,7715.0,17124.420000000027,72455.22,10424.489999999969,107345.22000000865,2020-05-14,1110.0,142.0,70.0,1022.0,1035.0,137.0,97.0,110.0,1.0,1.0
104,2020-05-15,8821,1.0,2.278432150549824,9.627585307788234,1.3980501076975405,14.181883006463096,8821.0,20098.05,84924.93000000001,12332.200000000004,125098.39000001097,2020-05-15,873.0,126.0,86.0,992.0,1004.0,130.0,91.0,102.0,1.0,1.0
105,2020-05-16,6384,1.0,2.2987265037593976,9.546557017543858,1.3217293233082712,13.732359022557347,6384.0,14675.069999999994,60945.21999999999,8437.920000000004,87667.3800000061,2020-05-16,485.0,91.0,84.0,968.0,981.0,126.0,89.0,102.0,1.0,1.0
106,2020-05-17,4652,1.0,2.3570356835769553,9.593254514187446,1.3387510748065325,13.856758383491641,4652.0,10964.929999999995,44627.82,6227.86999999999,64461.64000000311,2020-05-17,360.0,81.0,77.0,954.0,967.0,123.0,85.0,98.0,1.0,1.0
107,2020-05-18,8201,1.0,2.2531764418973226,9.468223387391783,1.365232288745272,14.0068052676515,8201.0,18478.29999999994,77648.90000000001,11196.269999999975,114869.81000000995,2020-05-18,895.0,113.0,59.0,906.0,918.0,113.0,78.0,90.0,1.0,1.0
108,2020-05-19,8844,1.0,2.2572444595205754,9.533683853459973,1.4099853007688872,14.133270013569769,8844.0,19963.06999999997,84315.9,12469.910000000038,124994.64000001103,2020-05-19,1004.0,115.0,55.0,866.0,877.0,114.0,73.0,85.0,1.0,1.0
